Variable;Description;Subcategory;Type;Values;;Mutability;Data Source
QT_PROF_MONITORES;Quantidade de profissionais que atuam na escola - Técnicos(as), monitores(as), supervisores(as) ou auxiliares de laboratório(s), de apoio a tecnologias educacionais ou em multimeios/multimídias eletrônico/digitais;Support staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_PROF_GESTAO;Profissionais que atuam na escola - Vice-diretor(a) ou diretor(a) adjunto(a), profissionais responsáveis pela gestão administrativa e/ou financeira;Management staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_PROF_GESTAO;Quantidade de profissionais que atuam na escola - Vice-diretor(a) ou diretor(a) adjunto(a), profissionais responsáveis pela gestão administrativa e/ou financeira;Management staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_PROF_SECRETARIO;Profissionais que atuam na escola - Secretário(a) escolar;Management staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_PROF_SECRETARIO;Quantidade de profissionais que atuam na escola - Secretário(a) escolar;Management staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_ORGAO_CONSELHO_ESCOLAR;Órgãos colegiados em funcionamento na escola - Conselho Escolar;Governance & participation;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_ORGAO_GREMIO_ESTUDANTIL;Órgãos colegiados em funcionamento na escola - Grêmio Estudantil;Governance & participation;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_ESPACO_ATIVIDADE;A escola compartilha espaços para atividades de integração escola-comunidade;Services;Binary (0/1);"0 - No; 1 - Yes; 9 - No informado";"0 - Não; 1 - Sim; 9 - Não informado";Operational;School Census 2024
IN_EDUC_AMBIENTAL;A escola desenvolve ações na área de educação ambiental?;Services;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_DOC_MED;Número de Docentes do Ensino Médio;Teaching staff;Numeric (count);≥0;≥0;Operational;School Census 2024
IN_ACESSIBILIDADE_SINAL_VISUAL;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização visual (piso/paredes);Operational accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_ACESSIBILIDADE_SINAL_SONORO;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização sonora;Operational accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_ACESSIBILIDADE_SINAL_TATIL;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização tátil (piso/paredes);Operational accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_ACESSIBILIDADE_INEXISTENTE;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Nenhum dos recursos de acessibilidade listados;Operational accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
